filename,period,value,state,p10,p25,p75,p90
example_123456.csv,Annual,32.31,below,24.77,33.6,63.4,73.27
example_123456.csv,Jan,21.37,normal,16.57,21.33,76.47,82.9
example_123456.csv,Feb,21.8,normal,11.69,21.54,74.19,78.66
example_123456.csv,Mar,20.92,below,15.1,20.93,76.62,83.09
example_123456.csv,Apr,22.21,normal,18.24,21.66,71.49,84.8
example_123456.csv,May,35.8,normal,19.06,29.5,72.78,80.19
example_123456.csv,Jun,38.16,normal,18.28,32.24,68.08,75.73
example_123456.csv,Jul,38.14,normal,18.28,32.15,67.55,75.42
example_123456.csv,Aug,37.99,normal,18.17,32.33,67.15,75.12
example_123456.csv,Sep,37.83,normal,18.15,32.04,66.83,76.36
example_123456.csv,Oct,37.63,normal,19,31.82,67.07,75.61
example_123456.csv,Nov,37.49,normal,17.96,25.03,74.08,88.54
example_123456.csv,Dec,37.53,normal,16.83,21.56,75.38,87.71
